init_date,valid_date,lead_hours,region,forecast_precip_mm,forecast_temp_c
2023-06-01,2023-06-04,72,Maharashtra,0.04377913847565651,29.631677246093773
2023-06-02,2023-06-05,72,Maharashtra,0.12434440851211548,29.118035888671898
2023-06-03,2023-06-06,72,Maharashtra,0.13315850496292114,29.167657470703148
2023-06-04,2023-06-07,72,Maharashtra,0.0633741244673729,29.105584716796898
2023-06-05,2023-06-08,72,Maharashtra,0.07451923191547394,29.219110107421898
2023-06-06,2023-06-09,72,Maharashtra,0.20629370212554932,28.972436523437523
2023-06-07,2023-06-10,72,Maharashtra,0.23564976453781128,28.885186767578148
2023-06-08,2023-06-11,72,Maharashtra,0.6663752794265747,28.153405761718773
2023-06-09,2023-06-12,72,Maharashtra,0.8638548851013184,27.850793457031273
2023-06-10,2023-06-13,72,Maharashtra,0.3527098000049591,28.462823486328148
2023-06-11,2023-06-14,72,Maharashtra,0.2893356680870056,28.395166015625023
2023-06-12,2023-06-15,72,Maharashtra,0.15005826950073242,28.221459960937523
2023-06-13,2023-06-16,72,Maharashtra,0.15253496170043945,28.219750976562523
2023-06-14,2023-06-17,72,Maharashtra,0.1315559446811676,28.228814697265648
2023-06-15,2023-06-18,72,Maharashtra,0.12776806950569153,28.570184326171898
2023-06-16,2023-06-19,72,Maharashtra,0.1752622425556183,27.978692626953148
2023-06-17,2023-06-20,72,Maharashtra,0.29902389645576477,28.227960205078148
2023-06-18,2023-06-21,72,Maharashtra,0.2749854326248169,27.981622314453148
2023-06-19,2023-06-22,72,Maharashtra,0.22654429078102112,27.522637939453148
2023-06-20,2023-06-23,72,Maharashtra,0.7903555035591125,26.944421386718773
2023-06-21,2023-06-24,72,Maharashtra,1.4592074155807495,25.782861328125023
2023-06-22,2023-06-25,72,Maharashtra,0.8625437021255493,25.819268798828148
2023-06-23,2023-06-26,72,Maharashtra,1.5598047971725464,24.887872314453148
2023-06-24,2023-06-27,72,Maharashtra,3.3782780170440674,24.515374755859398
2023-06-25,2023-06-28,72,Maharashtra,2.5085954666137695,24.134118652343773
2023-06-26,2023-06-29,72,Maharashtra,1.6541374921798706,24.016778564453148
2023-06-27,2023-06-30,72,Maharashtra,4.707458972930908,24.423913574218773
2023-06-28,2023-07-01,72,Maharashtra,3.6212849617004395,24.305627441406273
2023-06-29,2023-07-02,72,Maharashtra,0.8717220425605774,25.220056152343773
2023-06-30,2023-07-03,72,Maharashtra,0.9441288113594055,25.920922851562523
2023-07-01,2023-07-04,72,Maharashtra,5.275859355926514,25.533959960937523
2023-07-02,2023-07-05,72,Maharashtra,6.257648468017578,24.824426269531273
2023-07-03,2023-07-06,72,Maharashtra,5.169434547424316,24.239312744140648
2023-07-04,2023-07-07,72,Maharashtra,6.26245641708374,23.759393310546898
2023-07-05,2023-07-08,72,Maharashtra,1.8566433191299438,23.953393554687523
2023-07-06,2023-07-09,72,Maharashtra,0.8477563858032227,24.315911865234398
2023-07-07,2023-07-10,72,Maharashtra,0.9370629191398621,24.469140625000023
