date,region,regime
2023-06-04,Maharashtra,break
2023-06-05,Maharashtra,break
2023-06-06,Maharashtra,break
2023-06-07,Maharashtra,break
2023-06-08,Maharashtra,break
2023-06-09,Maharashtra,break
2023-06-10,Maharashtra,break
2023-06-11,Maharashtra,break
2023-06-12,Maharashtra,break
2023-06-13,Maharashtra,break
2023-06-14,Maharashtra,break
2023-06-15,Maharashtra,break
2023-06-16,Maharashtra,break
2023-06-17,Maharashtra,break
2023-06-18,Maharashtra,break
2023-06-19,Maharashtra,break
2023-06-20,Maharashtra,break
2023-06-21,Maharashtra,break
2023-06-22,Maharashtra,break
2023-06-23,Maharashtra,break
2023-06-24,Maharashtra,break
2023-06-25,Maharashtra,break
2023-06-26,Maharashtra,active
2023-06-27,Maharashtra,active
2023-06-28,Maharashtra,active
2023-06-29,Maharashtra,active
2023-06-30,Maharashtra,active
2023-07-01,Maharashtra,active
2023-07-02,Maharashtra,active
2023-07-03,Maharashtra,break
2023-07-04,Maharashtra,active
2023-07-05,Maharashtra,active
2023-07-06,Maharashtra,active
2023-07-07,Maharashtra,active
2023-07-08,Maharashtra,active
2023-07-09,Maharashtra,active
2023-07-10,Maharashtra,active
2023-07-11,Maharashtra,active
2023-07-12,Maharashtra,active
2023-07-13,Maharashtra,active
2023-07-14,Maharashtra,active
2023-07-15,Maharashtra,active
2023-07-16,Maharashtra,active
2023-07-17,Maharashtra,active
2023-07-18,Maharashtra,active
2023-07-19,Maharashtra,active
2023-07-20,Maharashtra,active
2023-07-21,Maharashtra,active
2023-07-22,Maharashtra,active
2023-07-23,Maharashtra,active
2023-07-24,Maharashtra,active
2023-07-25,Maharashtra,active
2023-07-26,Maharashtra,active
2023-07-27,Maharashtra,active
2023-07-28,Maharashtra,active
2023-07-29,Maharashtra,active
2023-07-30,Maharashtra,active
2023-07-31,Maharashtra,active
2023-08-01,Maharashtra,break
2023-08-02,Maharashtra,break
2023-08-03,Maharashtra,break
2023-08-04,Maharashtra,break
2023-08-05,Maharashtra,break
2023-08-06,Maharashtra,break
2023-08-07,Maharashtra,break
2023-08-08,Maharashtra,break
2023-08-09,Maharashtra,break
2023-08-10,Maharashtra,break
2023-08-11,Maharashtra,break
2023-08-12,Maharashtra,break
2023-08-13,Maharashtra,break
2023-08-14,Maharashtra,break
2023-08-15,Maharashtra,break
2023-08-16,Maharashtra,break
2023-08-17,Maharashtra,break
2023-08-18,Maharashtra,break
2023-08-19,Maharashtra,break
2023-08-20,Maharashtra,break
2023-08-21,Maharashtra,break
2023-08-22,Maharashtra,break
2023-08-23,Maharashtra,break
2023-08-24,Maharashtra,break
2023-08-25,Maharashtra,break
2023-08-26,Maharashtra,break
2023-08-27,Maharashtra,break
2023-08-28,Maharashtra,break
2023-08-29,Maharashtra,break
2023-08-30,Maharashtra,break
2023-08-31,Maharashtra,break
2023-09-01,Maharashtra,break
2023-09-02,Maharashtra,break
2023-09-03,Maharashtra,break
2023-09-04,Maharashtra,break
2023-09-05,Maharashtra,active
2023-09-06,Maharashtra,active
2023-09-07,Maharashtra,active
2023-09-08,Maharashtra,active
2023-09-09,Maharashtra,active
2023-09-10,Maharashtra,active
2023-09-11,Maharashtra,active
2023-09-12,Maharashtra,break
2023-09-13,Maharashtra,break
2023-09-14,Maharashtra,break
2023-09-15,Maharashtra,break
2023-09-16,Maharashtra,active
2023-09-17,Maharashtra,active
2023-09-18,Maharashtra,active
2023-09-19,Maharashtra,break
2023-09-20,Maharashtra,break
2023-09-21,Maharashtra,break
2023-09-22,Maharashtra,break
2023-09-23,Maharashtra,active
2023-09-24,Maharashtra,active
2023-09-25,Maharashtra,active
2023-09-26,Maharashtra,active
2023-09-27,Maharashtra,active
2023-09-28,Maharashtra,break
2023-09-29,Maharashtra,active
2023-09-30,Maharashtra,active
